ds,yhat,yhat_lower,yhat_upper
2012-03-11,166.53117771863657,-389.4364280525355,701.8669379813279
2012-03-18,126.29770235211961,-374.8364067011087,639.6560489084752
2012-03-25,122.74428806512731,-402.5646528653923,620.2220078477877
2012-04-01,108.43267842138783,-445.8806296517856,651.4144431814266
2012-04-08,32.06511071154624,-477.22984516236164,563.6108581471045
2012-04-15,-92.71302627966733,-584.9265749780749,422.80016888459363
2012-04-22,-191.80349879800997,-745.0133237201803,340.19423945838105
2012-04-29,-207.55093248132454,-774.3062403994657,289.9775399717161
2012-05-06,-158.85731416466461,-688.7156561084018,379.39847690131967
2012-05-13,-115.38447881511617,-634.5978025294056,399.71834514645377
2012-05-20,-119.35361487204094,-626.9115410582723,398.2373861702446
2012-05-27,-147.5257777094807,-656.8220903504507,351.2913312467593
2012-06-03,-152.20072549770077,-644.550056124562,382.58068856922466
2012-06-10,-123.96351530640374,-672.6818530440876,400.77044621904287
2012-06-17,-98.81723180900326,-635.9293889872483,406.029068323391
2012-06-24,-107.41386539439875,-612.2212872269275,453.57782709613446
2012-07-01,-135.79070368966606,-635.9571084594265,426.0873518709221
2012-07-08,-146.97224122411785,-696.8732972026556,412.9920488201713
2012-07-15,-131.91798105354695,-638.0568388342436,392.84908773479947
2012-07-22,-121.94665198307752,-641.0897062920807,404.2505189487465
2012-07-29,-146.8607322585884,-666.2313695068899,404.8290451428359
2012-08-05,-193.54239251230948,-724.1763344466744,409.2398942655167
2012-08-12,-218.3474584968854,-728.2690130457415,315.48489876947747
2012-08-19,-197.56507851214405,-681.5917956753494,270.6525319067736
2012-08-26,-153.189581369291,-648.3422887982738,390.289038008002
2012-09-02,-124.18511702077501,-629.9171825617799,403.2790647148814
2012-09-09,-121.01175332959737,-660.2432875163116,398.9373428620285
2012-09-16,-117.57756562346349,-640.1649810163566,380.0985546718884
2012-09-23,-84.21497822202106,-613.1205172698047,459.62712582867834
2012-09-30,-17.025528092653943,-557.3640282991352,505.35202822931
2012-10-07,67.4029034151103,-472.1373778360397,586.3478918377646
2012-10-14,153.31599716228087,-379.1184142036066,687.1599432910641
2012-10-21,229.46828496029815,-304.90822907108407,751.0827300077352
2012-10-28,277.56345728811635,-246.6814333847323,810.5140583265288
2012-11-04,277.42853428800004,-220.9189058879184,846.3220770603425
2012-11-11,235.83773071145677,-269.8432307728687,741.031637267653
2012-11-18,199.73555068030618,-324.7217753057281,698.2615802121385
2012-11-25,219.573392411699,-312.58595922667376,751.2201391126631
2012-12-02,291.6725038488378,-265.98570625510854,812.0601525184957
2012-12-09,350.232907739035,-190.93962659214085,897.6994951022543
2012-12-16,333.6280531233337,-175.07604486672278,891.7318888253793
2012-12-23,259.29793586631024,-248.98834013348002,803.5004000167468
2012-12-30,218.2445762130796,-328.02665471011,744.3446851901242
2013-01-06,284.4350783616769,-261.6873401567735,791.8194618436743
2013-01-13,434.42402409179385,-85.86928936067443,963.178990236166
2013-01-20,567.4001767286229,50.28817166287279,1044.8248208395923
2013-01-27,604.9560984822015,69.6819625847604,1160.400462223423
2013-02-03,560.7038731266672,26.569714932979156,1081.104924043388
2013-02-10,507.51043690237486,-47.656617808602114,989.1987080850289
2013-02-17,489.246717626418,-39.4697843563746,1007.4801838254803
2013-02-24,482.4848859594987,-53.79701095734485,980.5063040385488
2013-03-03,444.94558296874516,-59.24279421542826,969.8248800316586
2013-03-10,380.0136742921065,-134.15547961848893,899.159469712347
2013-03-17,332.65202979177855,-174.35427251851007,860.2722552034421
2013-03-24,324.6660453711482,-210.0120750339741,828.1789688344359
2013-03-31,317.0371297775262,-192.31719072542273,844.2791218412042
2013-04-07,253.12776875136598,-233.62229031852738,786.4912758855414
2013-04-14,132.5279620089883,-387.9507463891619,648.7267143086311
2013-04-21,22.976708867317768,-500.73872947044606,554.2972263777401
2013-04-28,-8.672582230924547,-512.3413002219506,503.42521398170555
2013-05-05,33.12905406946828,-481.83398086886314,547.6341162787669
2013-05-12,82.38028818232104,-430.1369141866766,624.4161898083523
2013-05-19,86.9238322116187,-473.41305183674183,615.1903929259917
2013-05-26,59.32729205396757,-456.6856530050655,592.2737921003181
2013-06-02,48.11978959203225,-458.2692225665626,563.6348141898972
2013-06-09,72.28817526733846,-451.35276597637426,596.9491748317719
2013-06-16,101.1881577609602,-410.4091042624241,647.2701650006713
2013-06-23,98.95980185568783,-443.17577563278024,621.4508497828227
2013-06-30,71.37131230179966,-410.8328617631915,628.1064149408095
2013-07-07,55.120505363720326,-435.31253169130997,594.9737647611943
2013-07-14,66.94921271512709,-450.80074971761,568.6762737467209
2013-07-21,80.80595408335947,-427.7236190223082,603.1186693649266
2013-07-28,62.598496548178474,-517.1928316381695,558.6236853393616
2013-08-04,16.88280038062419,-516.9383546393076,540.74775590959
2013-08-11,-14.788907887771302,-531.4513136103784,527.1813837924976
2013-08-18,-1.758071479657076,-544.3133525846846,532.134456088467
2013-08-25,41.44727266664023,-468.06186041916675,549.0189964065388
2013-09-01,75.19791915015861,-428.1419028261254,603.1325484483282
2013-09-08,81.83292754385963,-447.21560549824125,594.2918025123228
2013-09-15,82.60014586972872,-480.8708643411975,601.6915075606282
2013-09-22,109.45165254171803,-422.4739618666245,636.604907804462
2013-09-29,171.52308108163473,-375.07545832466224,653.4441380943572
2013-10-06,254.25513425164556,-262.7458301357484,805.7801895480374
2013-10-13,340.6702830893818,-189.41426743450424,873.52306771916
2013-10-20,419.54930075710786,-129.77621738218795,910.8575979230742
2013-10-27,474.339968629958,-49.61929774310141,1014.8682548719913
2013-11-03,483.4593421994557,-21.875812168681605,980.6294979551665
2013-11-10,446.76016825775235,-73.35989584871233,962.0923855483761
2013-11-17,405.1208296884003,-138.75265468494203,930.1156061224307
2013-11-24,412.97651877657705,-117.76555441468476,984.8505485422965
2013-12-01,479.16195243454507,-56.17635025052416,1008.030956253317
2013-12-08,545.856663940014,11.970299138253749,1052.4621839467245
2013-12-15,543.9789889051947,27.317687706650926,1080.7447295076793
2013-12-22,474.2829890767545,-68.8469803194183,991.564005227898
2013-12-29,419.68020142102677,-85.99260698868346,906.9214169576021
2014-01-05,464.9653818315646,-67.53671164356888,989.2747566655453
2014-01-12,606.0105741419113,78.2811402329884,1143.2531930036564
2014-01-19,749.4787906232959,243.01930452962966,1237.5815886801652
2014-01-26,805.5562133372796,285.45269519273796,1324.5718790063463
2014-02-02,770.7957889437467,250.91048068382418,1303.9948519129969
2014-02-09,713.7613285785753,183.0219826711737,1243.263723724445
2014-02-16,688.8267630120533,150.6151416243428,1211.006965634005
2014-02-23,683.1779891306917,146.50277827460536,1205.1920684254335
2014-03-02,652.2292341601742,142.0684552675374,1207.0733160931898
2014-03-09,588.9559173093089,73.60282781339774,1096.6458090923168
2014-03-16,534.8440173093652,-15.675586683501411,1067.2082517319025
2014-03-23,520.5664004546896,-47.223081901241756,1032.3636899106573
2014-03-30,517.1022512960855,4.895682985455335,1018.8716950031484
2014-04-06,465.11687261319094,-52.54070169185091,996.5266641755366
2014-04-13,350.58465951000426,-164.54739355823034,876.3226149903435
2014-04-20,232.43794994224217,-319.2334445540744,758.0323117050534
2014-04-27,184.23108620502893,-350.66273516128695,725.0589315896839
2014-05-04,216.32143045783548,-312.2179457583548,716.7669537187775
2014-05-11,269.0516090876474,-256.0900360921403,801.0725439680655
2014-05-18,282.11913978230245,-253.56563694309438,782.1353962799226
2014-05-25,256.3671219746267,-241.73400026798316,754.4347210884791
2014-06-01,238.80962030916479,-308.54808050352847,765.7293341844697
2014-06-08,257.3084160403097,-295.58669619296137,828.2213672525725
2014-06-15,288.19014588004654,-220.77887805228332,846.6677972328999
2014-06-22,292.06712651631767,-226.17554250350454,801.4813684988069
2014-06-29,266.1154402309924,-255.3994943952107,817.5067942945703
2014-07-06,244.91831089874984,-291.68109427595334,726.7266130544582
2014-07-13,252.0992005029695,-244.67074922953427,798.6888462092115
2014-07-20,268.1259030300336,-230.01278621585553,793.8592040679894
2014-07-27,256.29343607850956,-266.9077605034219,797.4367569850752
2014-08-03,212.5355715628168,-302.006913577225,746.9574045757754
2014-08-10,174.60157956414582,-322.96124792640705,673.7077772676944
2014-08-17,178.87508887993448,-323.21798905998656,707.3325635481349
2014-08-24,219.0222368035452,-280.8159875953079,741.0247735000754
2014-08-31,256.42767020784163,-252.55870296315186,762.185337500444
2014-09-07,266.8133916684152,-251.38578526449498,797.2228791253048
2014-09-14,265.556257139398,-224.4266877994757,804.2605157380873
2014-09-21,285.7061927246109,-207.82283437271715,849.7840791070944
2014-09-28,341.64565620473536,-179.80637481582013,820.1594694141406
2014-10-05,421.6395064238707,-94.71254455178854,969.5181303802802
2014-10-12,507.8479330701359,-7.943087593299057,1047.5746584549875
2014-10-19,588.5409124154966,99.16107570506068,1123.440531798711
2014-10-26,648.8648097211832,121.03456136643352,1198.7042808444182
2014-11-02,666.7726646634674,109.58783818451377,1167.261611636565
2014-11-09,635.9566983243346,140.64358883201547,1194.5774068873272
2014-11-16,590.4874712657195,76.70153767372699,1124.2494913857327
2014-11-23,586.5085412493687,76.85933493515721,1120.4949834726274
2014-11-30,644.566830964805,86.14628220427403,1194.701001103279
2014-12-07,716.7428749236219,162.91269998584357,1235.994788162768
2014-12-08,723.5507618650314,201.7536150639097,1269.4457879844547
2014-12-09,728.8653310153964,202.27757699113198,1259.8131002004745
2014-12-10,732.5480344926649,214.25936611547718,1276.0393054838137
2014-12-11,734.4981276519926,231.61541841976035,1272.5710261268725
2014-12-12,734.6561342228051,222.32105626439062,1259.4865594066441
2014-12-13,733.0063480110988,211.48177555060443,1241.6343065009664
2014-12-14,729.5782878247672,183.14997121612984,1276.8076961772565
2014-12-15,724.4470483530879,202.87908919238666,1207.412929793331
2014-12-16,717.7325177604216,192.51749462600307,1258.5713820914991
2014-12-17,709.5974620013311,202.13300853497847,1259.4806741165178
2014-12-18,700.2445055444493,162.78482923008903,1200.3422696831176
2014-12-19,689.912067497974,170.90610386117675,1169.2357142791275
2014-12-20,678.8693402591573,129.68643291911292,1203.5868267308624
2014-12-21,667.4104239790872,130.68160220868575,1193.7886286888595
2014-12-22,655.8477536070095,125.7761284395951,1207.8069297973848
2014-12-23,644.504975389362,109.12941088883831,1160.5161994208875
2014-12-24,633.7094458590568,80.36594510396186,1166.119937206696
2014-12-25,623.7845380870762,69.19339569298043,1126.5434033937715
2014-12-26,615.0419469134388,115.66974161534539,1131.2049002055235
2014-12-27,607.7741867985612,59.49083359780461,1127.511844723502
2014-12-28,602.2474727410506,107.73011212690552,1116.8514846474454
2014-12-29,598.6951664345119,64.7690117779336,1135.6622275288662
2014-12-30,597.3119566724266,96.62421564611873,1119.4019458462847
2014-12-31,598.2489252696254,42.64174523942486,1169.701646450931
2015-01-01,601.6096279031669,105.24097678835862,1128.0322230756785
2015-01-02,607.4472938441816,100.75269675590322,1162.0016049991339
2015-01-03,615.7632202233661,78.90644181994823,1128.2785267446466
2015-01-04,626.5064059913689,87.7460550665533,1116.2387469228893
2015-01-05,639.5744389164397,128.37724777109025,1164.1248931900006
2015-01-06,654.8156166546507,123.95105570785363,1132.7568569921104
2015-01-07,672.032251004756,154.13618028666465,1212.626177691492
2015-01-08,690.9850737840834,192.5376017989739,1200.4051381797622
2015-01-09,711.3986341651129,210.7135712831979,1233.2769940443643
2015-01-10,732.9675515754932,225.45225280985082,1280.5468504638661
2015-01-11,755.3634660883149,188.18608311395266,1248.198304124241
2015-01-12,778.2425102263519,261.2077033989446,1316.9383165954612
2015-01-13,801.2531127626755,277.413003064464,1333.5673414787245
2015-01-14,824.0439367944774,316.69682286212225,1356.5723630259768
2015-01-15,846.2717513253067,345.9065237223491,1367.108250419777
2015-01-16,867.6090378979152,346.9441693858125,1387.8648006734215
2015-01-17,887.7511414192936,359.957912856251,1464.650232934293
2015-01-18,906.4227869997233,350.5340727067019,1464.944148731987
2015-01-19,923.3838020485186,404.89514277614927,1456.3100109753188
2015-01-20,938.4339045461295,424.4257538654079,1477.386153269001
2015-01-21,951.4164437577369,410.86633259705815,1509.4552846970905
2015-01-22,962.2210079668776,434.35383117481007,1489.2236399902283
2015-01-23,970.784844311934,426.7109707505751,1484.0080116560569
2015-01-24,977.093067666698,442.58051061987925,1485.2462162580484
2015-01-25,981.1776678417772,470.14424114262783,1498.455661250081
2015-01-26,983.1153563110445,416.8924378624437,1503.633981695235
2015-01-27,983.0243243072739,494.39528027862013,1511.2090994155328
2015-01-28,981.0600126512123,458.874754595591,1489.8380167520877
2015-01-29,977.410019294604,463.99002966868846,1535.926623070436
2015-01-30,972.2882925770612,439.91256529436305,1437.855920280916
2015-01-31,965.928776024613,398.3546757343468,1475.6789949540573
2015-02-01,958.5786836754119,474.6125577787269,1492.6550059099013
2015-02-02,950.4915930634533,412.015430403834,1467.6470238675788
2015-02-03,941.9205459167613,379.1703730597372,1456.1316612885225
2015-02-04,933.1113442765728,421.2170290326177,1427.7405842394578
2015-02-05,924.2962222089577,406.70259108749707,1429.1017179638466
2015-02-06,915.6880607924156,376.3393116960036,1384.9020071433513
2015-02-07,907.4752970034602,375.72703374600337,1408.4056407371002
2015-02-08,899.8176559802686,408.0204976245252,1399.943582164808
2015-02-09,892.8428115462048,377.9581032423659,1426.4757527940253
2015-02-10,886.6440525208126,365.0860851076037,1401.8319236007023
2015-02-11,881.2790030277447,328.3675992796814,1386.0208212823793
2015-02-12,876.7694145622379,331.92001767084037,1407.094719346523
2015-02-13,873.1020168726823,386.7174996573447,1380.306407512574
2015-02-14,870.2303846139185,332.10576954209733,1376.623658517365
2015-02-15,868.0777480943336,369.06997582274835,1371.3170690259396
2015-02-16,866.5406500729191,272.5412030217594,1345.4048268429228
2015-02-17,865.4933272034441,342.7313935585622,1391.7158144553762
2015-02-18,864.7926750239812,325.93269194593995,1385.4036653269345
2015-02-19,864.2836398944786,348.4821630473407,1432.081761010755
2015-02-20,863.8048704159125,377.0166840396405,1432.251651509121
2015-02-21,863.1944549099505,291.8526368267124,1387.395319222435
2015-02-22,862.2955706478915,331.5521085398514,1416.0795833729794
2015-02-23,860.9618746894307,328.2980490417792,1413.13796735917
2015-02-24,859.0624752871669,328.3976510300598,1394.168774495196
2015-02-25,856.4863365433366,352.2066283037966,1443.9230446935755
2015-02-26,853.1459869577824,358.17178078970625,1354.317701855692
2015-02-27,848.9804241424636,317.90334484260245,1406.2942002251946
2015-02-28,843.9571326572466,332.5591020924471,1407.6568020950285
2015-03-01,838.0731589191435,313.0544194221077,1397.0367025019796
2015-03-02,831.3552156589383,328.57042762124394,1339.7231854057738
2015-03-03,823.8588176145236,285.6469001801813,1310.040091754078
2015-03-04,815.6664792064867,285.3899530103154,1296.152907616286
2015-03-05,806.885032995541,276.61293809730046,1361.1737496116045
2015-03-06,797.6421539600555,250.04664206356549,1305.6785893791603
2015-03-07,788.0821982945973,237.17448010528133,1305.0663421388117
2015-03-08,778.3614858376168,263.934922940717,1299.0359355976632
2015-03-09,768.6431717975547,290.32761637193306,1323.0757327204624
2015-03-10,759.0918656891837,257.7377796488728,1291.506174293135
2015-03-11,749.8681629660987,231.2142334124118,1272.3835052537527
2015-03-12,741.1232575277782,220.04100530205275,1267.348001292307
2015-03-13,732.9938010196381,209.44062595016487,1286.7994351783957
2015-03-14,725.5971677010922,218.46287216183845,1268.5481909897285
2015-03-15,719.0272718475301,210.90061518809534,1249.3966162390764
2015-03-16,713.3510685199792,185.40647045676303,1266.1074715946888
2015-03-17,708.6058485563785,167.29037599114787,1247.739034112554
2015-03-18,704.7974153930824,162.7080614447912,1190.5435038065707
2015-03-19,701.8992054914447,164.80181260760088,1252.4645092239864
2015-03-20,699.8523864718545,207.25475295924502,1215.0611641988364
2015-03-21,698.5669383526025,128.58201719186164,1209.5347086451402
2015-03-22,697.9236943821065,139.56782518676843,1258.733306197557
2015-03-23,697.7772896819436,193.80214813272,1226.197264485363
2015-03-24,697.9599391006373,184.88723718099368,1230.2336477544618
2015-03-25,698.2859410915214,136.83104017248962,1190.8385956119153
2015-03-26,698.5567827840036,156.37974670796413,1235.720256127557
2015-03-27,698.5667033397481,152.58216310325412,1237.0513722868477
2015-03-28,698.1085587009629,166.67974574602104,1201.5583160466176
2015-03-29,696.9798213456793,197.8000609006657,1225.7550223755843
2015-03-30,694.9885439456324,169.3193109330066,1259.1777956070382
2015-03-31,691.9591160090238,134.23220052714777,1244.0328544759689
2015-04-01,687.7376476834291,182.27169563597425,1198.3880650634542
2015-04-02,682.1968247452531,161.53034892486443,1229.9647582954372
2015-04-03,675.2400931341253,139.15981888877556,1208.119778862934
2015-04-04,666.8050497913844,125.51344690290071,1182.8083175911142
2015-04-05,656.8659385083234,164.58546178452863,1170.6085891086925
2015-04-06,645.4351743529243,125.37893940669116,1161.6244098025238
2015-04-07,632.5638473158862,133.3038132126756,1156.8477459946262
2015-04-08,618.3411843248782,117.84608943219362,1140.616567832802
2015-04-09,602.8929779080827,106.46011006444574,1120.621707923284
2015-04-10,586.3790187141134,55.23477487143966,1115.6343611422617
2015-04-11,568.9895969941538,63.519425262057396,1052.9389099310358
2015-04-12,550.9411642322607,30.218782262614198,1059.2469207170413
2015-04-13,532.471269629133,43.721530603930994,1041.8377138179726
2015-04-14,513.8329064434623,1.9316814004144858,1030.4391160035757
2015-04-15,495.2884196971769,-34.14514683820235,997.8383068717803
2015-04-16,477.10313899751145,-73.7214136117848,1005.0053026942683
2015-04-17,459.53890787552166,-72.03314961660442,963.3876519117591
2015-04-18,442.8476838832503,-45.94009135854028,961.2456890668656
2015-04-19,427.2653816560776,-59.59207365972548,985.3208951998569
2015-04-20,413.00612429804323,-128.48712883055373,903.8770825123491
2015-04-21,400.25705699711716,-127.88934197199666,929.4346939561842
2015-04-22,389.17386105149194,-162.33960085620123,885.0008467243176
2015-04-23,379.8770869460938,-128.70604226608305,881.5729303062557
2015-04-24,372.4494023234036,-136.84223556677128,900.0232066371514
2015-04-25,366.93382529415965,-158.1139406302764,874.7333714253607
2015-04-26,363.3329862598077,-131.93542014208168,897.1095446497234
2015-04-27,361.60943304219984,-136.75328064706306,888.4127856647331
2015-04-28,361.68696544413694,-178.3719517708532,870.8322739181418
2015-04-29,363.45295720352266,-149.76590158353355,899.2466724579406
2015-04-30,366.7615964479528,-164.50279660405698,878.9268486233457
2015-05-01,371.43795095673846,-118.0641891595339,911.1248359953729
2015-05-02,377.2827424814566,-129.79084486447857,933.0223412936252
2015-05-03,384.0776956771729,-127.41604956857793,927.3491236291219
2015-05-04,391.5913123592385,-127.02125949676486,934.4175469731009
2015-05-05,399.58491122892076,-145.99993315351037,899.2922950365345
2015-05-06,407.81876717588034,-103.76257718662757,943.5622159294935
2015-05-07,416.0581829130848,-96.28154630714853,942.9129024431363
2015-05-08,424.079329039847,-81.41784881553566,926.6684665044008
2015-05-09,431.67469653707906,-59.525191673556094,1002.0293648651386
2015-05-10,438.65801792473366,-73.6750204364459,956.8919418985337
2015-05-11,444.8685294764244,-76.9200136107289,962.6177986639609
2015-05-12,450.17446650896795,-64.87020920949888,972.471474495673
2015-05-13,454.4757062622077,-63.65530432818844,980.7633741499353
2015-05-14,457.705497597721,-82.43261542830565,986.6428094110851
2015-05-15,459.8312429562783,-48.34311552065201,1002.3082446193374
2015-05-16,460.85432496442303,-69.232929154697,989.5020137117166
2015-05-17,460.80899699913846,-36.20193459470381,997.4293365873801
2015-05-18,459.7603831376401,-94.29697138348482,970.1961020422602
2015-05-19,457.8016574974019,-19.944259187420204,990.6864903143725
2015-05-20,455.0504953217044,-34.89172270569011,989.0321034887718
2015-05-21,451.64490766414565,-49.17983294541396,963.1268821468677
2015-05-22,447.7385876401971,-48.659968945155704,965.2393684728006
2015-05-23,443.495908507757,-55.6939961812002,952.4999748775494
2015-05-24,439.0867219939281,-29.635978904766006,921.3016135327189
2015-05-25,434.6811091019084,-81.47430541610137,941.1355158535526
2015-05-26,430.44423503671635,-83.23022699337038,956.3606710337028
2015-05-27,426.5314549384216,-111.33687943819724,968.4965917888117
2015-05-28,423.08380798621346,-106.36056272964403,927.2362868128579
2015-05-29,420.2240244379189,-104.29325634051276,921.2989508121374
2015-05-30,418.05315370529416,-61.809581179278084,923.9037639220036
2015-05-31,416.6479021456308,-102.98821176448152,926.883240131545
2015-06-01,416.0587474627799,-92.94453582888194,928.3277738979185
2015-06-02,416.30887310955615,-108.21718015661307,955.7616363019523
2015-06-03,417.39394156726655,-100.02895956597149,971.7576472350034
2015-06-04,419.282700568676,-127.93336645368231,964.5512762786445
2015-06-05,421.91839195524926,-104.84129664398696,931.7326337654506
